822,Mokrovraty,8,2,98205
823,Lipiny,8,2,101915
824,Nečín,8,2,101923
825,Žebrák,8,2,101931
826,Homole,8,2,102415
827,Nechalov,8,2,102423
828,Nová Ves pod Pleší,8,2,105813
829,Krámy,8,2,106089
830,Nové Dvory,8,2,106097
831,Kozí Hory,8,2,107620
832,Nový Knín,8,2,107638
833,Sudovice,8,2,107654
834,Lhotka,8,2,108677
835,Obořiště,8,2,108685
836,Ostrov,8,2,117030
837,Ouběnice,8,2,117048
838,Pouště,8,2,126624
839,Mokrsko,8,2,133779
840,Prostřední Lhota,8,2,133787
841,Rosovice,8,2,141372
842,Sychrov,8,2,141381
843,Budín,8,2,143995
844,Libice,8,2,144002
845,Rybníky,8,2,144011
846,Skalice,8,2,147877
847,Stará Huť,8,2,153753
848,Budínek,8,2,160041
849,Svaté Pole,8,2,160059
850,Velká Lečice,8,2,178497
851,Voznice,8,2,185051
852,Záborná Lhota,8,2,189251
853,Smilovice,8,2,321125
854,Cholín,8,2,321192
855,Knihy,8,2,322423
856,Kobylníky,8,2,322431
857,Cholín-Boubovny,8,2,322440
858,Dobříš,8,2,403342
859,Trnová,8,2,403351
860,Drhovce,8,2,403377
861,Lipí,8,2,403385
862,Jablonce,8,2,403458
863,Strupina,8,2,403466
864,Vaječník,8,2,403474
865,Bělohrad,8,2,403482
866,Chouzavá,8,2,403636
867,Běštín,9,2,3361
868,Březová,9,2,14605
869,Bzová,9,2,17311
870,Cerhovice,9,2,17612
871,Drozdov,9,2,32603
872,Felbabka,9,2,34461
873,Bezdědice,9,2,45870
874,Hostomice,9,2,45888
875,Lštěň,9,2,45896
876,Hředle,9,2,48933
877,Hvozdec,9,2,50288
878,Mrtník,9,2,50296
879,Chaloupky,9,2,50571
880,Neřežín,9,2,50598
881,Chlustina,9,2,51861
882,Jivina,9,2,61263
883,Kleštěnice,9,2,68632
884,Komárov,9,2,68641
885,Kotopeky,9,2,71072
886,Kvaň,9,2,78085
887,Lážovice,9,2,79570
888,Nové Dvory,9,2,79588
889,Lhotka,9,2,81302
890,Libomyšl,9,2,83208
891,Želkovice,9,2,83216
892,Kočvary,9,2,86452
893,Lochovice,9,2,86461
894,Netolice,9,2,86479
895,Obora,9,2,86487
896,Malá Víska,9,2,90417
897,Neumětely,9,2,104205
898,Olešná,9,2,110191
899,Osek,9,2,112844
900,Osov,9,2,113328
901,Osovec,9,2,113336
902,Otmíče,9,2,116564
903,Podluhy,9,2,124036
904,Praskolesy,9,2,132942
905,Radouš,9,2,138690
906,Rpety,9,2,143065
907,Skřipel,9,2,148911
